2026-06-19 13:14:03.723 [car-34] INFO  edu.homework.inspection.car.CarAgent - Car 34 listening on car.no34
2026-06-19 13:14:03.723 [car-48] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 5989ms
2026-06-19 13:14:03.726 [car-68] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 5968ms
2026-06-19 13:14:03.726 [car-29] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6009ms
2026-06-19 13:14:03.726 [car-29] INFO  edu.homework.inspection.car.CarAgent - Car 29 listening on car.no29
2026-06-19 13:14:03.726 [car-48] INFO  edu.homework.inspection.car.CarAgent - Car 48 listening on car.no48
2026-06-19 13:14:03.737 [car-68] INFO  edu.homework.inspection.car.CarAgent - Car 68 listening on car.no68
2026-06-19 13:14:03.737 [car-33] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6023ms
2026-06-19 13:14:03.737 [car-33] INFO  edu.homework.inspection.car.CarAgent - Car 33 listening on car.no33
2026-06-19 13:14:03.737 [car-42] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6014ms
2026-06-19 13:14:03.737 [car-42] INFO  edu.homework.inspection.car.CarAgent - Car 42 listening on car.no42
2026-06-19 13:14:03.751 [car-76] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 5984ms
2026-06-19 13:14:03.751 [car-25] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6036ms
2026-06-19 13:14:03.753 [car-51] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6012ms
2026-06-19 13:14:03.755 [car-25] INFO  edu.homework.inspection.car.CarAgent - Car 25 listening on car.no25
2026-06-19 13:14:03.755 [car-76] INFO  edu.homework.inspection.car.CarAgent - Car 76 listening on car.no76
2026-06-19 13:14:03.755 [car-51] INFO  edu.homework.inspection.car.CarAgent - Car 51 listening on car.no51
2026-06-19 13:14:03.755 [car-31] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6037ms
2026-06-19 13:14:03.755 [car-31] INFO  edu.homework.inspection.car.CarAgent - Car 31 listening on car.no31
2026-06-19 13:14:03.767 [car-13] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (400 cars, 8 navigators) in 6056ms
